;Aca_cat;Aeq_tet;Ana_uro;Api_aga;Api_reg;Ast_bim;Bat_ran;Bra_bee;Bra_bre;Bra_sp.1;Bra_sp.2;Bra_sp.3;Bra_sp.4;Bry_cau;Bry_sp.;Bun_cor;Cal_cal;Car_str;Cha_eth;Cha_sp.;Cha_zeb;Cop_arn;Cor_mel;Cre_ret;Cre_sax;Cre_spi;Cur_cry;Den_epa;Den_sp.;Eig_sp.;Eig_tri;Far_ama;Gla_con;Gym_gca;Gym_gco;Gym_gpa;Gym_sp.;Hel_mar;Hem_bel;Hem_gei;Hem_oce;Hem_rho;Hem_rod;Hem_sp.;Hem_uni;Hop_mal;Hyp_ben;Hyp_het;Hyp_lep;Igu_rac;Itu_ama;Itu_sp.;Kno_vic;Lai_str;Mas_aso;Meg_tho;Mic_bil;Mic_wei;Moe_col;Moe_com;Mon_oli;Nan_nit;Nan_tae;Nan_tri;Pim_sp.;Pot_eig;Pyr_bre;Rha_mue;Rha_que;Rha_sp.;Rin_has;Sat_jur;Ste_mac;Syn_mar;Tet_wal;land_use
UA047;0;0;32;0;72;0;0;0;3;0;25;1;0;0;0;0;1;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;11;0;0;0;0;0;0;0;0;0;29;0;0;25;0;0;0;0;0;0;6;0;0;0;0;30;0;0;0;6;4;0;0;0;0;0;0;0;Logging
UA048;0;1;12;0;56;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;10;9;0;12;0;0;0;0;0;0;0;0;0;81;1;6;3;0;0;0;0;0;0;29;0;0;0;0;8;0;0;0;16;0;0;0;0;0;0;0;0;Logging
UA049;0;1;6;11;1;0;0;0;18;0;2;5;0;0;0;0;0;0;1;0;0;96;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;1;0;43;0;0;14;0;0;0;0;0;2;92;0;0;0;0;55;0;1;0;7;3;0;0;0;0;0;0;0;Logging
UA050;0;6;1;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;4;0;0;0;0;0;0;0;0;0;104;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Logging
UA051;0;1;1;13;97;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;0;56;0;0;1;4;0;0;0;0;0;0;0;0;0;4;0;2;60;0;7;0;0;0;0;0;0;324;8;12;1;0;0;0;0;0;9;50;0;4;0;0;11;14;0;0;2;0;0;0;0;0;0;0;0;Logging
UA052;0;0;3;0;67;0;0;0;0;0;1;3;0;0;0;0;0;0;30;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7;11;0;0;0;0;0;0;0;0;91;0;35;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;Logging
UA053;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;6;1;0;19;0;0;0;0;0;0;0;0;0;94;0;37;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;Logging
UA054;0;3;7;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;16;0;0;0;0;0;0;0;2;0;63;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;Logging
UA055;0;0;41;0;1;0;0;0;0;0;31;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;1;0;315;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;63;0;0;0;0;0;0;0;0;Logging
UA056;0;2;1;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;10;0;0;0;0;0;0;0;0;0;555;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;29;0;0;0;0;0;0;0;0;Logging
UA057;0;1;31;0;10;0;0;26;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;4;0;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;Logging
UA058;0;2;2;0;54;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;10;0;0;1;0;0;0;3;0;0;4;4;0;7;4;0;1;0;0;0;0;3;0;4;0;40;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;Logging
UA059;0;0;16;0;37;0;0;1;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;9;0;0;0;0;0;0;0;1;0;31;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;Logging
UA060;0;9;20;0;41;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;9;0;0;0;0;0;0;0;0;0;334;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;48;0;0;0;0;0;0;0;0;Logging
UA061;0;2;2;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;1;0;0;2;4;0;5;0;0;0;0;0;0;0;4;0;7;0;50;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;Logging
UA080;0;1;0;4;2;0;0;0;0;5;19;1;0;0;0;0;0;0;0;0;0;88;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;0;0;0;0;0;68;0;0;0;0;0;81;0;0;0;8;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;Palm
UA081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Palm
UA082;0;11;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;17;0;0;4;0;0;0;0;0;0;33;0;20;0;2;0;32;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;Palm
UA083;0;0;0;0;17;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;0;10;0;0;0;1;0;0;0;0;0;7;0;0;1;0;1;5;36;0;1;0;0;0;0;0;1;7;0;10;0;5;0;15;1;0;14;5;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;Palm
UA084;0;0;1;4;0;0;0;4;1;0;5;0;0;0;0;0;0;0;0;0;0;103;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;1;0;86;0;0;0;0;0;43;0;0;0;43;0;0;0;0;1;0;0;0;20;0;0;0;0;0;0;0;0;Palm
UA085;0;3;0;3;74;0;0;3;0;0;1;0;1;0;0;0;0;4;0;0;0;61;0;0;0;2;0;0;0;0;0;1;20;0;2;0;0;2;13;0;17;0;0;0;0;3;1;183;9;0;0;5;0;3;13;0;3;358;0;0;0;0;7;16;0;0;2;0;0;1;2;0;0;0;0;Palm
UA086;0;7;1;0;108;0;0;0;1;7;0;0;2;0;0;0;0;19;0;0;0;52;0;2;0;0;0;0;0;0;0;1;19;0;0;0;0;12;33;0;8;0;0;0;0;1;0;42;9;14;0;4;0;17;4;0;0;154;0;0;0;0;1;9;0;0;5;0;0;1;0;0;0;0;0;Palm
UA087;0;1;0;1;0;0;0;0;1;7;0;0;0;0;0;0;0;16;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;17;2;1;25;0;0;0;0;1;0;205;4;25;0;3;0;17;0;0;0;163;0;3;0;0;0;12;0;0;1;0;0;0;0;0;0;0;0;Palm
UA088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;0;0;0;0;0;30;0;0;0;0;0;0;0;17;0;0;0;0;0;5;0;0;20;0;0;0;0;0;0;0;0;Pasture
