"","X","Y","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","DistNeigh"
"29",-59.805197,-1.421581,52.52742,"27/08/2022 13:35",NA,NA,"A004A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,345.497973590216
"30",-59.80514,-1.421122,52.42868,"27/08/2022 13:40",NA,NA,"A004A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,328.057807302316
"31",-59.575995,-1.852699,48.91878,"28/09/2022 14:21",NA,NA,"A005A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,774.370246076473
"32",-59.57609,-1.852259,48.95907,"28/09/2022 14:26",NA,NA,"A005A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,801.431752558027
"33",-59.57615,-1.851882,48.9188,"28/09/2022 14:31",NA,NA,"A005A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,826.399999867922
"34",-59.576187,-1.851518,50.03672,"28/09/2022 14:35",NA,NA,"A005A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,852.070413125378
"35",-59.576133,-1.851082,50.11405,"28/09/2022 14:40",NA,NA,"A005A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,890.351693522592
"36",-59.576207,-1.850657,49.41221,"28/09/2022 14:45",NA,NA,"A005A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,918.870535878725
"37",-59.686631,-1.700432,45.57673,"14/09/2022 12:26",NA,NA,"A006A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,189.954740435635
"38",-59.686669,-1.700011,46.13116,"14/09/2022 12:30",NA,NA,"A006A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,147.367965894014
"39",-59.686657,-1.699527,46.31727,"14/09/2022 12:34",NA,NA,"A006A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,107.591836372448
"40",-59.686529,-1.699038,46.23782,"14/09/2022 12:38",NA,NA,"A006A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,80.2624781070679
"41",-59.686361,-1.698531,45.97548,"14/09/2022 12:42",NA,NA,"A006A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,58.0273461714944
"42",-59.686335,-1.69803,46.81758,"14/09/2022 12:45",NA,NA,"A006A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,67.8459746365283
"43",-59.741311,-1.755394,58.25105,"18/09/2022 14:57",NA,NA,"A007A1","REAL","REAL",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,104.862085010479
"44",-59.741765,-1.75522,45.4733,"18/09/2022 15:01",NA,NA,"A007A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,144.985024304226
"45",-59.742214,-1.755099,46.2493,"18/09/2022 15:03",NA,NA,"A007A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,138.098210184182
"46",-59.742715,-1.754927,45.78826,"18/09/2022 15:06",NA,NA,"A007A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,81.3854971239685
"47",-59.743224,-1.754873,46.50165,"18/09/2022 15:09",NA,NA,"A007A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,26.0952070695736
"48",-59.743372,-1.754454,46.76162,"18/09/2022 15:14",NA,NA,"A007A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,35.6587092575307
"49",-59.596204,-1.816943,51.66957,"28/09/2022 15:51",NA,NA,"A008A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,605.610412997424
"50",-59.596656,-1.816903,50.54626,"28/09/2022 15:56",NA,NA,"A008A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,594.88217743241
"51",-59.597154,-1.816892,50.74204,"28/09/2022 15:59",NA,NA,"A008A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,591.531730747756
"52",-59.597624,-1.816893,49.97849,"28/09/2022 16:01",NA,NA,"A008A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,591.629389607032
"53",-59.598055,-1.81678,50.07984,"28/09/2022 16:04",NA,NA,"A008A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,580.881917479052
"54",-59.598406,-1.816882,50.02924,"28/09/2022 16:07",NA,NA,"A008A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,596.375202472565
"55",-59.60882,-1.75786,55.56969,"04/10/2022 16:10",NA,NA,"A010A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,3193.32378123381
"56",-59.609212,-1.758004,55.63233,"04/10/2022 16:13",NA,NA,"A010A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,3219.80859665524
"57",-59.609651,-1.757895,55.30947,"04/10/2022 16:17",NA,NA,"A010A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,3221.25669178986
"58",-59.610021,-1.757835,54.88539,"04/10/2022 16:20",NA,NA,"A010A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,3226.46178171095
"59",-59.61042,-1.757876,55.15533,"04/10/2022 16:22",NA,NA,"A010A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,3243.81841835427
"60",-59.610806,-1.758083,55.06403,"04/10/2022 16:25",NA,NA,"A010A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,3278.69371507664
"61",-59.778127,-1.409117,55.1951,"25/08/2022 19:05",NA,NA,"A011A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,723.809508604957
"62",-59.777584,-1.409015,55.01467,"25/08/2022 19:09",NA,NA,"A011A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,784.075152495804
"63",-59.777172,-1.409034,55.03944,"25/08/2022 19:14",NA,NA,"A011A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,797.400833687122
"64",-59.776555,-1.40905,53.03265,"25/08/2022 19:18",NA,NA,"A011A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,747.659058660135
"65",-59.776045,-1.409054,52.90111,"25/08/2022 19:22",NA,NA,"A011A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,707.791052673805
"66",-59.775626,-1.409202,53.28004,"25/08/2022 19:26",NA,NA,"A011A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,664.605676700566
"67",-59.468665,-1.72059,54.60218,"19/10/2022 16:34",NA,NA,"A012A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,272.672848004804
"68",-59.468768,-1.721069,54.10794,"19/10/2022 16:36",NA,NA,"A012A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,229.787546717107
"69",-59.468862,-1.721524,53.57377,"19/10/2022 16:41",NA,NA,"A012A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,194.081317722005
"70",-59.468713,-1.72202,54.37917,"19/10/2022 16:45",NA,NA,"A012A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,142.919252500543
"71",-59.468685,-1.722455,56.37725,"19/10/2022 16:48",NA,NA,"A012A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,106.348435640452
"72",-59.468747,-1.722918,58.30711,"19/10/2022 16:52",NA,NA,"A012A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,84.5280348722429
"73",-59.531481,-1.876417,52.24911,"04/10/2022 19:17",NA,NA,"A013A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1430.92877276554
"74",-59.531603,-1.876901,51.91028,"04/10/2022 19:20",NA,NA,"A013A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1399.73646927342
"75",-59.53156,-1.87732,51.84695,"04/10/2022 19:23",NA,NA,"A013A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1389.72572302954
"76",-59.531537,-1.877673,50.68492,"04/10/2022 19:28",NA,NA,"A013A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1381.03792650531
"77",-59.531655,-1.878166,51.0176,"04/10/2022 19:30",NA,NA,"A013A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1354.45040544193
"78",-59.531739,-1.87856,51.63501,"04/10/2022 19:36",NA,NA,"A013A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,1335.6369748316
"79",-59.808486,-1.552635,58.08687,"01/09/2022 19:35",NA,NA,"A014A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,121.073534692596
"80",-59.808347,-1.553074,57.11895,"01/09/2022 19:44",NA,NA,"A014A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,112.764647868166
"81",-59.808183,-1.553394,56.92929,"01/09/2022 19:50",NA,NA,"A014A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,100.863480460741
"82",-59.808112,-1.553917,57.14927,"01/09/2022 19:54",NA,NA,"A014A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,91.4017211975379
"83",-59.80803,-1.554387,56.04601,"01/09/2022 19:57",NA,NA,"A014A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,106.833422587128
"84",-59.80792,-1.554861,55.7747,"01/09/2022 20:02",NA,NA,"A014A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,113.920238528499
"85",-59.912135,-1.443409,60.83272,"03/09/2022 20:50",NA,NA,"A015A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,66.3985418074069
